date,ticker,action,shares,market_price,executed_price,total
2020-09-01,GOOG,sell,4.0,82.4173583984375,81.86299928612227,327.4519971444891
2020-09-01,META,sell,4.0,293.3905944824219,292.58325953496507,1170.3330381398603
2020-09-01,LRCX,buy,153.0,32.040584564208984,32.34031532922139,4948.068245370872
2020-09-01,MU,buy,62.9982317960185,44.64787673950195,45.504383772820105,2866.6957166551038
2020-10-01,NVDA,sell,37.0,13.572310447692871,13.458433621158342,497.96204398285863
2020-10-01,LRCX,sell,28.0,32.02974319458008,31.182140386580773,873.0999308242616
2020-10-01,MU,sell,7.998231796018445,46.75539016723633,46.48257335787047,371.77839619167946
2020-10-01,ADBE,buy,1.0,499.510009765625,500.2312586598944,500.2312586598944
2020-10-01,MSFT,buy,3.0,203.33148193359375,203.76943456045174,611.3083036813553
2020-10-01,GOOG,buy,8.503329859249245,73.94985961914062,74.24159936249814,631.3008086575501
2020-11-01,NVDA,sell,293.0,12.495158195495605,12.008265546001146,3518.421804978336
2020-11-01,LRCX,sell,184.0,32.30836868286133,31.962925270881478,5881.178249842192
2020-11-01,MU,sell,138.0,49.1165771484375,48.39358807766196,6678.31515471735
2020-11-01,ADBE,sell,7.0,447.1000061035156,446.105003204344,3122.7350224304078
2020-11-01,MSFT,sell,21.0,193.77072143554688,193.759659435082,4068.952848136722
2020-11-01,GOOG,sell,70.50332985924922,80.44712829589844,80.12541921239001,5649.108860841758
2020-11-01,META,sell,12.0,261.2848205566406,260.4929727735059,3125.915673282071
2020-11-01,NFLX,sell,29.962610873929748,47.57400131225586,47.195436520294486,1414.0984994828366
2020-11-01,BX,buy,325.0,42.026363372802734,42.55812008791665,13831.38902857291
2020-11-01,TTD,buy,180.0,56.64500045776367,57.24487780144031,10304.078004259256
2020-11-01,ALSN,buy,274.3658371483843,33.183876037597656,33.98112235029189,9323.259080879507
2020-12-01,TTD,sell,18.0,89.01300048828125,88.50898762203072,1593.161777196553
2020-12-01,NVDA,buy,112.77972515541441,13.348508834838867,14.126313705775752,1593.161777196553
2021-02-01,LRCX,sell,89.0,47.481689453125,46.8639468268355,4170.891267588359
2021-02-01,MU,sell,83.0,78.47528076171875,78.36105540844359,6503.967598900818
2021-02-01,BX,sell,37.0,58.33666229248047,58.226149184386365,2154.3675198222954
2021-02-01,TTD,sell,12.0,79.32099914550781,79.2214364324679,950.6572371896148
2021-02-01,NVDA,buy,204.22027484458567,13.19987964630127,13.366201307475906,2729.64930464079
2021-02-01,ADBE,buy,9.0,470.0,470.49096474283823,4234.418682685544
2021-02-01,MSFT,buy,6.0,229.95372009277344,230.26387440720683,1381.583246443241
2021-02-01,GOOG,buy,16.0,94.35978698730469,94.70494244112535,1515.2790790580057
2021-02-01,META,buy,15.019768617672622,260.1924743652344,260.9196859439214,3918.953310673507
2021-07-01,NVDA,sell,427.0,20.16689682006836,19.46472867522774,8311.439144322245
2021-07-01,LRCX,sell,32.0,60.21055221557617,60.00484021821036,1920.1548869827316
2021-07-01,ADBE,sell,2.0,584.72998046875,584.1775022047419,1168.3550044094839
2021-07-01,GOOG,sell,24.0,125.42777252197266,125.41657225790894,3009.9977341898148
2021-07-01,META,sell,7.019768617672625,351.931640625,351.5782970824404,2467.998296514098
2021-07-01,BX,sell,62.0,83.59776306152344,83.46981296999037,5175.128404139403
2021-07-01,TGTX,sell,301.0,40.45000076293945,39.78189280501108,11974.349734308336
2021-07-01,MU,buy,61.0,78.1630630493164,78.6629164659854,4798.43790442511
2021-07-01,MSFT,buy,5.0,261.81439208984375,262.7076066302976,1313.538033151488
2021-07-01,NFLX,buy,122.0,53.354000091552734,54.00020816719154,6588.025396397367
2021-07-01,TTD,buy,64.0,76.68000030517578,77.58600659112321,4965.504421831885
2021-07-01,DOCS,buy,305.5692086555261,52.79999923706055,53.54570089391879,16361.917449060262
2021-08-01,ADBE,sell,2.0,621.6300048828125,621.358688765677,1242.717377531354
2021-08-01,MSFT,sell,1.0,274.6448974609375,274.41283131267085,274.41283131267085
2021-08-01,GOOG,sell,6.0,134.21435546875,133.55323189673447,801.3193913804068
2021-08-01,BX,sell,41.0,99.82971954345703,99.7555313692666,4089.976786139931
2021-08-01,TTD,sell,10.0,81.91000366210938,81.29542039487988,812.9542039487989
2021-08-01,NVDA,buy,112.0,19.455488204956055,19.77082325472504,2214.332204529205
2021-08-01,LRCX,buy,15.0,60.62331771850586,61.55439727582169,923.3159591373254
2021-08-01,MU,buy,27.0,75.69457244873047,76.31738109149487,2060.5692894703616
2021-08-01,META,buy,2.0,353.8283996582031,354.6756948034451,709.3513896068902
2021-08-01,NFLX,buy,25.212414547709407,51.75699996948242,52.10971543733965,1313.8117475693798
2021-09-01,NVDA,sell,112.0,22.394874572753906,21.51072335419598,2409.20101566995
2021-09-01,GOOG,sell,1.0,144.7563018798828,144.4790826105575,144.4790826105575
2021-09-01,NFLX,sell,16.212414547709386,58.207000732421875,57.365110968226304,930.0269595922354
2021-09-01,BX,sell,8.0,110.43885803222656,110.35923764970752,882.8739011976602
