date,Original (Quarterly),Buy & Hold,Compounders,True Buffett,Market Regime,Earnings Growth,SPY_Benchmark
2020-01-27,65702.54061923751,170228.7988361637,35193.67940978462,136903.82927307423,14118.23481656468,27878.978145808444,198974.08323475643
2020-01-28,66493.87368140944,171084.38107722206,35632.82879523689,137505.96604523,14239.921198861608,28120.733800143465,201059.12054035507
2020-01-29,65655.36398241101,170912.018036298,35507.032864981804,137014.5109556609,14207.29080682489,28136.142904490694,200893.06069777088
2020-01-30,66987.53108435064,171468.8190960209,36304.958498093816,136728.27124771412,14691.528359755965,28157.09800168918,201545.05092713502
2020-01-31,66386.5139354196,168120.81720011635,35407.479468364756,133991.25114807423,14454.579646081022,27462.0796987717,197885.3640176363
2020-02-03,65540.02522310881,168592.08048289223,34755.36898805622,135429.56833633716,14216.013205109086,27475.316880435214,199355.38383543544
2020-02-04,64022.08040975633,168438.76308482094,34329.008254872446,137327.22586426075,13894.497148690247,27779.723692149386,202393.82626908168
2020-02-05,66298.232485148,171194.8624767582,35214.07687284474,138353.09262069996,14078.420025015152,28463.389979571566,204731.0770743398
2020-02-06,64931.53407358232,170875.3367885868,34675.931053029184,137529.5865477019,13823.219867843329,28211.036514491305,205419.9376277019
2020-02-07,69136.05160035643,169706.07357829018,35994.38583598708,136292.63473495777,15104.857400281951,27878.180409640536,204325.11432360878
2020-02-10,68758.98379974022,169932.59299891395,35801.310996920074,136994.41777786548,15106.42378854522,27781.425342768893,205850.50107794488
2020-02-11,68883.4758721067,170763.5273746769,36083.525502813536,138087.71014007862,15169.873290032596,28029.657312602267,206207.22146262525
2020-02-12,68251.56538211036,171026.2170872013,35965.266578366965,139323.0455549651,15034.783812046982,27976.32948896335,207535.80262086552
2020-02-13,68887.16937838722,170312.01755564613,35827.472502401084,139524.51910003956,15052.339703185378,27498.655279368624,207314.35535823103
2020-02-14,69705.86585322754,171042.1237530033,35773.35404622188,139122.40795502003,15122.805847145166,27306.858004779086,207646.47504339943
