date,cash,positions_value,total_value
2015-03-02,100000.0,0.0,100000.0
2015-03-03,100000.0,0.0,100000.0
2015-03-04,100000.0,0.0,100000.0
2015-03-05,100000.0,0.0,100000.0
2015-03-06,100000.0,0.0,100000.0
2015-03-09,100000.0,0.0,100000.0
2015-03-10,100000.0,0.0,100000.0
2015-03-11,100000.0,0.0,100000.0
2015-03-12,100000.0,0.0,100000.0
2015-03-13,100000.0,0.0,100000.0
2015-03-16,100000.0,0.0,100000.0
2015-03-17,100000.0,0.0,100000.0
2015-03-18,100000.0,0.0,100000.0
2015-03-19,100000.0,0.0,100000.0
2015-03-20,100000.0,0.0,100000.0
2015-03-23,100000.0,0.0,100000.0
2015-03-24,100000.0,0.0,100000.0
2015-03-25,100000.0,0.0,100000.0
2015-03-26,100000.0,0.0,100000.0
2015-03-27,100000.0,0.0,100000.0
2015-03-30,100000.0,0.0,100000.0
2015-03-31,100000.0,0.0,100000.0
2015-04-01,100000.0,0.0,100000.0
2015-04-02,100000.0,0.0,100000.0
2015-04-03,100000.0,0.0,100000.0
2015-04-06,100000.0,0.0,100000.0
2015-04-07,100000.0,0.0,100000.0
2015-04-08,100000.0,0.0,100000.0
2015-04-09,100000.0,0.0,100000.0
2015-04-10,100000.0,0.0,100000.0
2015-04-13,100000.0,0.0,100000.0
2015-04-14,100000.0,0.0,100000.0
2015-04-15,100000.0,0.0,100000.0
2015-04-16,100000.0,0.0,100000.0
2015-04-17,100000.0,0.0,100000.0
2015-04-20,100000.0,0.0,100000.0
2015-04-21,100000.0,0.0,100000.0
2015-04-22,100000.0,0.0,100000.0
2015-04-23,100000.0,0.0,100000.0
2015-04-24,100000.0,0.0,100000.0
2015-04-27,100000.0,0.0,100000.0
2015-04-28,100000.0,0.0,100000.0
2015-04-29,100000.0,0.0,100000.0
2015-04-30,100000.0,0.0,100000.0
2015-05-01,100000.0,0.0,100000.0
2015-05-04,100000.0,0.0,100000.0
2015-05-05,100000.0,0.0,100000.0
2015-05-06,100000.0,0.0,100000.0
2015-05-07,100000.0,0.0,100000.0
2015-05-08,100000.0,0.0,100000.0
2015-05-11,100000.0,0.0,100000.0
2015-05-12,100000.0,0.0,100000.0
2015-05-13,100000.0,0.0,100000.0
2015-05-14,100000.0,0.0,100000.0
2015-05-15,100000.0,0.0,100000.0
2015-05-18,100000.0,0.0,100000.0
2015-05-19,100000.0,0.0,100000.0
2015-05-20,100000.0,0.0,100000.0
2015-05-21,100000.0,0.0,100000.0
2015-05-22,100000.0,0.0,100000.0
2015-05-25,100000.0,0.0,100000.0
2015-05-26,100000.0,0.0,100000.0
2015-05-27,100000.0,0.0,100000.0
2015-05-28,100000.0,0.0,100000.0
2015-05-29,100000.0,0.0,100000.0
2015-06-01,100000.0,0.0,100000.0
2015-06-02,100000.0,0.0,100000.0
2015-06-03,100000.0,0.0,100000.0
2015-06-04,100000.0,0.0,100000.0
2015-06-05,100000.0,0.0,100000.0
2015-06-08,100000.0,0.0,100000.0
2015-06-09,100000.0,0.0,100000.0
2015-06-10,100000.0,0.0,100000.0
2015-06-11,100000.0,0.0,100000.0
2015-06-12,100000.0,0.0,100000.0
2015-06-15,100000.0,0.0,100000.0
2015-06-16,100000.0,0.0,100000.0
2015-06-17,100000.0,0.0,100000.0
2015-06-18,100000.0,0.0,100000.0
2015-06-19,100000.0,0.0,100000.0
2015-06-22,100000.0,0.0,100000.0
2015-06-23,100000.0,0.0,100000.0
2015-06-24,100000.0,0.0,100000.0
2015-06-25,100000.0,0.0,100000.0
2015-06-26,100000.0,0.0,100000.0
2015-06-29,100000.0,0.0,100000.0
2015-06-30,100000.0,0.0,100000.0
2015-07-01,100000.0,0.0,100000.0
2015-07-02,100000.0,0.0,100000.0
2015-07-03,100000.0,0.0,100000.0
2015-07-06,100000.0,0.0,100000.0
2015-07-07,100000.0,0.0,100000.0
2015-07-08,100000.0,0.0,100000.0
2015-07-09,100000.0,0.0,100000.0
2015-07-10,100000.0,0.0,100000.0
2015-07-13,100000.0,0.0,100000.0
2015-07-14,100000.0,0.0,100000.0
2015-07-15,100000.0,0.0,100000.0
2015-07-16,100000.0,0.0,100000.0
2015-07-17,100000.0,0.0,100000.0
2015-07-20,100000.0,0.0,100000.0
2015-07-21,100000.0,0.0,100000.0
2015-07-22,100000.0,0.0,100000.0
2015-07-23,100000.0,0.0,100000.0
2015-07-24,100000.0,0.0,100000.0
2015-07-27,100000.0,0.0,100000.0
2015-07-28,100000.0,0.0,100000.0
2015-07-29,100000.0,0.0,100000.0
2015-07-30,100000.0,0.0,100000.0
2015-07-31,100000.0,0.0,100000.0
2015-08-03,100000.0,0.0,100000.0
2015-08-04,100000.0,0.0,100000.0
2015-08-05,100000.0,0.0,100000.0
2015-08-06,100000.0,0.0,100000.0
2015-08-07,100000.0,0.0,100000.0
2015-08-10,100000.0,0.0,100000.0
2015-08-11,100000.0,0.0,100000.0
2015-08-12,100000.0,0.0,100000.0
2015-08-13,100000.0,0.0,100000.0
2015-08-14,100000.0,0.0,100000.0
2015-08-17,100000.0,0.0,100000.0
2015-08-18,100000.0,0.0,100000.0
2015-08-19,100000.0,0.0,100000.0
2015-08-20,100000.0,0.0,100000.0
2015-08-21,100000.0,0.0,100000.0
2015-08-24,100000.0,0.0,100000.0
2015-08-25,100000.0,0.0,100000.0
2015-08-26,100000.0,0.0,100000.0
2015-08-27,100000.0,0.0,100000.0
2015-08-28,100000.0,0.0,100000.0
2015-08-31,100000.0,0.0,100000.0
2015-09-01,100000.0,0.0,100000.0
2015-09-02,100000.0,0.0,100000.0
2015-09-03,100000.0,0.0,100000.0
2015-09-04,100000.0,0.0,100000.0
2015-09-07,100000.0,0.0,100000.0
2015-09-08,100000.0,0.0,100000.0
2015-09-09,100000.0,0.0,100000.0
2015-09-10,100000.0,0.0,100000.0
2015-09-11,100000.0,0.0,100000.0
2015-09-14,100000.0,0.0,100000.0
2015-09-15,100000.0,0.0,100000.0
2015-09-16,100000.0,0.0,100000.0
2015-09-17,100000.0,0.0,100000.0
2015-09-18,100000.0,0.0,100000.0
2015-09-21,100000.0,0.0,100000.0
2015-09-22,100000.0,0.0,100000.0
2015-09-23,100000.0,0.0,100000.0
2015-09-24,100000.0,0.0,100000.0
2015-09-25,100000.0,0.0,100000.0
2015-09-28,64722.87141593905,34976.12489318848,99698.99630912753
2015-09-29,64722.87141593905,35437.54822540283,100160.41964134188
2015-09-30,64722.87141593905,36846.44435119629,101569.31576713534
2015-10-01,64722.87141593905,36588.03676986694,101310.908185806
2015-10-02,64722.87141593905,36907.96727371216,101630.83868965121
2015-10-05,64722.87141593905,38021.547718048096,102744.41913398715
2015-10-06,64722.87141593905,38070.768882751465,102793.64029869052
2015-10-07,64722.87141593905,38064.60952377319,102787.48093971224
2015-10-08,64722.87141593905,38083.07346725464,102805.94488319369
2015-10-09,64722.87141593905,38021.547718048096,102744.41913398715
2015-10-12,64722.87141593905,38113.82786178589,102836.69927772494
2015-10-13,64722.87141593905,37873.88422393799,102596.75563987704
2015-10-14,64722.87141593905,38058.452991485596,102781.32440742465
2015-10-15,64722.87141593905,38845.95487976074,103568.8262956998
2015-10-16,64722.87141593905,38981.30813598633,103704.17955192538
2015-10-19,64722.87141593905,38993.62120056152,103716.49261650057
2015-10-20,64722.87141593905,39307.38669204712,104030.25810798617
2015-10-21,64722.87141593905,37640.09429168701,102362.96570762606
2015-10-22,64722.87141593905,39005.92295837402,103728.79437431307
